"","Cla_DB","exp1","exp2","invivo","gpmv"
"1","LPE:3",-2.67423494101639,-1.23480191023242,-0.952537484192795,-0.596713533516246
"2","PI:3",-2.33230680369666,-3.71674569881806,NA,-0.856349493148845
"3","PC:0",-2.92531374594601,-3.45804810278497,-0.423170237749398,-0.0976598144779028
"4","PE:6",-0.353715919685046,-4.22643538713934,NA,-1.12571232301711
"5","Cer:0",-1.16527099820846,-4.14573286349945,NA,-0.513926727829235
"6","PS:3",-1.28417208866893,-0.662619720552974,0.411064529701571,-0.826313071366189
"7","LPC:0",-1.47153126062311,-0.501045375496442,-0.740018711625006,0.190391550402127
"8","PG:1",-1.32985681532999,-1.56166241588892,NA,-0.544401246734435
"9","PI:0",-2.79456679296015,-0.181994763091088,NA,-0.741485756985094
"10","SM:2",1.19781618003937,-1.33193812138353,-0.638915216382514,-0.00191039545633196
"11","AcCa:0",-1.04292722624923,-1.63829022302314,0.0954178161514554,-0.112543711578171
"12","PE:0",1.69965633215581,-0.0267204435295588,-0.688918049551333,-0.624387025761873
"13","PE:3",-2.52719049236706,-0.067297645236087,NA,-0.37959156302274
"14","LPE:0",-0.924632895998317,-0.211807600092327,-0.481127366433723,0.270285179889196
"15","PC:1",-0.217534937268444,0.787822890450894,-0.59344358412931,-0.010744752065197
"16","PS:0",-0.865192940051234,0.30114319227387,-0.411064529701579,-0.064306075249101
"17","PS:1",-1.13456731933852,-0.104716113110717,NA,-0.120745851857376
